title,img_url,product_link
"White Open Floor Vase, 48""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1706804743/p/124267302/white-open-floor-vase-48.jpg",https://www.athome.com//white-open-floor-vase-48/124267302.html
"Crosby St. Black Open Circle Floor Vase, 48""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1729686076/p/124298016/crosby-st.-black-open-circle-floor-vase-48.jpg",https://www.athome.com//crosby-st.-black-open-circle-floor-vase-48/124298016.html
"Crosby St. Black Geo Floor Vase, 36""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1716392967/p/124278107/crosby-st.-black-geo-floor-vase-36.jpg",https://www.athome.com//crosby-st.-black-geo-floor-vase-36/124278107.html
"Clear Glass Cylinder Vase, 5""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1629485116/p/124132736/clear-glass-cylinder-vase-5.jpg",https://www.athome.com//clear-glass-cylinder-vase-5/124132736.html
"Clear Glass Cylinder Vase, 16""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1727871761/p/124250964/clear-glass-cylinder-vase-16.jpg",https://www.athome.com//clear-glass-cylinder-vase-16/124250964.html
"Grey Tribal Metal Vase, 27""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1727439724/p/124290521/grey-tribal-metal-vase-27.jpg",https://www.athome.com//grey-tribal-metal-vase-27/124290521.html
"Green Glass Vase, 14""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1727871775/p/124289013/green-glass-vase-14.jpg",https://www.athome.com//green-glass-vase-14/124289013.html
"Providence 3D Flower Ceramic Pot, 7""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1735046525/p/124389021/providence-3d-flower-ceramic-pot-7.jpg",https://www.athome.com//providence-3d-flower-ceramic-pot-7/124389021.html
"Honeybloom Emily White Ceramic Bottle Vase, 14""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1710280922/p/124258377/honeybloom-emily-white-ceramic-bottle-vase-14.jpg",https://www.athome.com//honeybloom-emily-white-ceramic-bottle-vase-14/124258377.html
"Honeybloom Emily White Ceramic Bottle Vase, 9.5""","https://static.athome.com/images/w_1200,h_1200,c_pad,f_auto,fl_lossy,q_auto/v1664541457/p/124258378/honeybloom-emily-white-ceramic-bottle-vase-9.5.jpg",https://www.athome.com//honeybloom-emily-white-ceramic-bottle-vase-9.5/124258378.html
